info,rating,price,discount
Mi Braided USB Type-C Cable (Black),"4.4 out of 5 stars 4,444  ",₹349,₹
Mi Braided USB Type-C Cable (Black),"4.4 out of 5 stars 4,444  ",₹349,₹
Mi Power Bank 3i 20000mAh | 18W Fast PD Charging | Input- Type C and Micro USB| Triple Output | Sandstone Black,"4.3 out of 5 stars 91,189  ","₹1,699",9
Mi Power Bank 3i 20000mAh | 18W Fast PD Charging | Input- Type C and Micro USB| Triple Output | Sandstone Black,"4.3 out of 5 stars 91,189  ","₹1,699",9
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","4.2 out of 5 stars 99,542  ","₹7,299",9
"Redmi Note 10S (Deep Sea Blue, 6GB RAM, 64GB Storage) -Super Amoled Display","4.2 out of 5 stars 19,912  ","₹14,999",9
"Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","4.2 out of 5 stars 118,353  ","₹9,499",9
Mi 10000mAH Li-Polymer Power Bank 3i with 18W Fast Charging (Midnight Black),"4.3 out of 5 stars 91,189  ",₹999,₹
Mi USB Type-C Cable,"4.3 out of 5 stars 17,765  ",₹229,₹
Mi Pocket Power Bank Pro Black 10000mAh | Triple Output and Dual Input Port | 22.5W Ultra Fast Charging | Power Delivery,"4.3 out of 5 stars 7,457  ","₹1,399",9
"Redmi Note 10 Pro (Glacial Blue, 6GB RAM, 128GB Storage) -120hz Super Amoled Display|64MP with 5mp Super Tele- Macro","4.2 out of 5 stars 43,646  ","₹17,999",9
"Redmi Note 10S (Shadow Black, 6GB RAM, 64GB Storage) - Super Amoled Display | 64 MP Quad Camera","4.2 out of 5 stars 19,912  ","₹14,999",9
"Redmi Note 10S (Deep Sea Blue, 6GB RAM, 128GB Storage) - Super Amoled Display | 64 MP Quad Camera |NCEMI Offer on HDFC Cards | 6 Month Free Screen Replacement (Prime only) | Alexa Built in","4.1 out of 5 stars 12,975  ","₹14,999",9
Mi Power Bank 3i 10000mAh (Metallic Blue) Dual Output and Input Port | 18W Fast Charging,"4.3 out of 5 stars 91,189  ",₹999,₹
"Mi Micro USB Cable (120cm, USB Type A, Black)","4.2 out of 5 stars 28,740  ",₹229,₹
Mi Braided USB Type-C Cable (Red),"4.4 out of 5 stars 6,461  ",₹299,₹
Mi 10W Wall Charger for Mobile Phones with Micro USB Cable (Black),"4.2 out of 5 stars 15,860  ",₹499,₹
"Redmi 20000mAh Li-Polymer Power Bank (Black), USB Type C and Micro USB Ports | 18W Fast Charging | Multi Device Charging","4.2 out of 5 stars 25,829  ","₹1,499",9
"Redmi Note 10S (Frost White, 6GB RAM, 64GB Storage) - Super Amoled Display | 64 MP Quad Camera | Alexa Built in","4.2 out of 5 stars 19,912  ","₹14,999",9
"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","4.3 out of 5 stars 25,377  ","₹7,299",9
Mi 2-in-1 USB Cable (Micro USB to Type-C) 100cm,"4.2 out of 5 stars 11,954  ",₹269,₹
"Redmi Note 10 Pro Max (Glacial Blue, 6GB RAM, 128GB Storage) -108MP Quad Camera|120Hz Super Amoled Display","4.1 out of 5 stars 33,353  ","₹19,999",9
"Redmi 10000 mAh Fast Charging Slim Power Bank (Black, 10W Fast Charging, Dual Ports)","4.2 out of 5 stars 25,829  ",₹899,₹
"Redmi 20000mAh Li-Polymer Power Bank (White), USB Type C and Micro USB Ports | 18W Fast Charging","4.2 out of 5 stars 25,829  ","₹1,499",9
Mi 11X 5G Cosmic Black 6GB RAM 128GB ROM | SD 870 | DisplayMate A+ rated E4 AMOLED | Upto 18 Months No Cost EMI,"4.1 out of 5 stars 19,779  ","₹27,999",9
MI 11X 5G (Cosmic Black 8GB RAM 128GB ROM | SD 870 | DisplayMate A+ rated E4 AMOLED),"4.1 out of 5 stars 19,779  ","₹29,999",9
Mi Braided USB Type-C Cable (Black),"4.4 out of 5 stars 4,444  ",₹349,₹
Mi Braided USB Type-C Cable (Black),"4.4 out of 5 stars 4,444  ",₹349,₹
Mi Braided USB Type-C Cable (Black),"4.4 out of 5 stars 4,444  ",₹349,₹
